id,ward_id,title,category,agency,permit_required,estimated_cost_lakh,expected_beneficiaries,beneficiary_ci_low,beneficiary_ci_high,beneficiary_method,impact_per_lakh,feasibility,equity_need,urgency,impact_signal
21,1,Waste hotspot clearance - Cluster 21,Waste,City Corporation,False,0.5,905,594,1242,bayesian-gamma-poisson-montecarlo-v2,1811.227,0.6471,0.4699,0.5073,0.63022
22,1,Pocket park and tree corridor - Cluster 22,Green,RAJUK,True,0.859,927,620,1286,bayesian-gamma-poisson-montecarlo-v2,1079.689,0.6593,0.3677,0.5105,0.50178
23,1,Canal edge desilting - Cluster 23,Water,WASA,False,2.394,987,643,1386,bayesian-gamma-poisson-montecarlo-v2,412.327,0.4802,0.4673,0.5926,0.44095
24,1,Community safety lighting - Cluster 24,Public Safety,City Corporation,False,0.76,940,589,1335,bayesian-gamma-poisson-montecarlo-v2,1236.253,0.768,0.5907,0.4912,0.628
25,1,Drain cleaning micro-package - Cluster 25,Drainage,City Corporation,False,0.422,1009,653,1451,bayesian-gamma-poisson-montecarlo-v2,2391.647,0.6809,0.4806,0.6497,0.75469
26,1,Road patch and resurfacing - Cluster 26,Road,LGED,False,1.688,897,570,1245,bayesian-gamma-poisson-montecarlo-v2,531.36,0.736,0.5565,0.4463,0.51671
27,1,Waste hotspot clearance - Cluster 27,Waste,City Corporation,False,0.311,913,590,1275,bayesian-gamma-poisson-montecarlo-v2,2938.001,0.5605,0.573,0.5197,0.74359
28,1,Pocket park and tree corridor - Cluster 28,Green,RAJUK,False,2.079,957,631,1342,bayesian-gamma-poisson-montecarlo-v2,460.285,0.7139,0.6282,0.421,0.53515
29,1,Canal edge desilting - Cluster 29,Water,WASA,True,2.245,970,624,1352,bayesian-gamma-poisson-montecarlo-v2,432.125,0.99,0.4963,0.7003,0.6354
30,1,Community safety lighting - Cluster 30,Public Safety,City Corporation,False,0.865,914,576,1247,bayesian-gamma-poisson-montecarlo-v2,1056.968,0.6981,0.4938,0.5288,0.53764
31,1,Drain cleaning micro-package - Cluster 31,Drainage,City Corporation,False,1.099,987,600,1379,bayesian-gamma-poisson-montecarlo-v2,898.175,0.7019,0.4721,0.6418,0.57626
32,1,Road patch and resurfacing - Cluster 32,Road,LGED,True,2.671,896,548,1276,bayesian-gamma-poisson-montecarlo-v2,335.448,0.71,0.4368,0.5028,0.49598
33,1,Waste hotspot clearance - Cluster 33,Waste,City Corporation,False,0.526,914,587,1261,bayesian-gamma-poisson-montecarlo-v2,1737.825,0.6251,0.5107,0.4068,0.58369
34,1,Pocket park and tree corridor - Cluster 34,Green,RAJUK,True,1.288,938,591,1313,bayesian-gamma-poisson-montecarlo-v2,728.162,0.7517,0.5652,0.5874,0.59943
35,2,Drain cleaning micro-package - Cluster 1,Drainage,City Corporation,False,1.022,1004,633,1402,bayesian-gamma-poisson-montecarlo-v2,982.204,0.7615,0.5093,0.6183,0.58331
36,2,Road patch and resurfacing - Cluster 2,Road,LGED,False,2.325,932,590,1322,bayesian-gamma-poisson-montecarlo-v2,400.828,0.7072,0.5175,0.3636,0.45237
37,2,Waste hotspot clearance - Cluster 3,Waste,City Corporation,True,0.388,922,545,1324,bayesian-gamma-poisson-montecarlo-v2,2374.076,0.6993,0.4704,0.5135,0.70202
38,2,Pocket park and tree corridor - Cluster 4,Green,RAJUK,False,1.819,923,577,1281,bayesian-gamma-poisson-montecarlo-v2,507.338,0.99,0.259,0.4907,0.52527
39,2,Canal edge desilting - Cluster 5,Water,WASA,True,0.893,1014,686,1411,bayesian-gamma-poisson-montecarlo-v2,1134.916,0.9086,0.4755,0.5155,0.62414
40,2,Community safety lighting - Cluster 6,Public Safety,City Corporation,False,0.691,929,588,1311,bayesian-gamma-poisson-montecarlo-v2,1344.837,0.9328,0.3338,0.4133,0.57093
41,2,Drain cleaning micro-package - Cluster 7,Drainage,City Corporation,False,0.59,995,653,1330,bayesian-gamma-poisson-montecarlo-v2,1685.502,0.6351,0.5713,0.5958,0.65395
42,2,Road patch and resurfacing - Cluster 8,Road,LGED,False,1.972,928,563,1345,bayesian-gamma-poisson-montecarlo-v2,470.675,0.7125,0.5694,0.4859,0.5366
43,2,Waste hotspot clearance - Cluster 9,Waste,City Corporation,False,0.702,937,597,1314,bayesian-gamma-poisson-montecarlo-v2,1334.131,0.652,0.4014,0.3875,0.53556
44,2,Pocket park and tree corridor - Cluster 10,Green,RAJUK,False,0.846,928,578,1320,bayesian-gamma-poisson-montecarlo-v2,1097.5,0.82,0.5674,0.5469,0.63638
45,2,Canal edge desilting - Cluster 11,Water,WASA,False,3.487,1000,618,1379,bayesian-gamma-poisson-montecarlo-v2,286.812,0.4325,0.5042,0.6703,0.49986
46,2,Community safety lighting - Cluster 12,Public Safety,City Corporation,False,0.393,877,551,1217,bayesian-gamma-poisson-montecarlo-v2,2232.074,0.8177,0.5274,0.4318,0.678
47,2,Drain cleaning micro-package - Cluster 13,Drainage,City Corporation,False,1.29,987,679,1334,bayesian-gamma-poisson-montecarlo-v2,765.194,0.8491,0.5163,0.6495,0.63128
48,2,Road patch and resurfacing - Cluster 14,Road,LGED,False,1.353,943,581,1325,bayesian-gamma-poisson-montecarlo-v2,696.755,0.99,0.5808,0.4654,0.60345
49,2,Waste hotspot clearance - Cluster 15,Waste,City Corporation,False,0.336,888,578,1235,bayesian-gamma-poisson-montecarlo-v2,2642.014,0.7973,0.504,0.3443,0.69095
50,2,Pocket park and tree corridor - Cluster 16,Green,RAJUK,False,0.603,929,612,1244,bayesian-gamma-poisson-montecarlo-v2,1540.929,0.6731,0.3738,0.4103,0.5413
51,2,Canal edge desilting - Cluster 17,Water,WASA,True,2.394,986,634,1337,bayesian-gamma-poisson-montecarlo-v2,411.83,0.7485,0.4605,0.6007,0.53942
52,2,Community safety lighting - Cluster 18,Public Safety,City Corporation,False,0.807,901,600,1216,bayesian-gamma-poisson-montecarlo-v2,1115.87,0.8699,0.4219,0.4505,0.53958
53,2,Drain cleaning micro-package - Cluster 19,Drainage,City Corporation,False,0.899,1008,653,1387,bayesian-gamma-poisson-montecarlo-v2,1121.432,0.6815,0.5162,0.5743,0.60211
54,2,Road patch and resurfacing - Cluster 20,Road,LGED,True,0.751,933,580,1330,bayesian-gamma-poisson-montecarlo-v2,1242.055,0.5217,0.4438,0.5103,0.51416
55,2,Waste hotspot clearance - Cluster 21,Waste,City Corporation,False,0.251,919,557,1300,bayesian-gamma-poisson-montecarlo-v2,3668.03,0.6773,0.5353,0.3778,0.79125
56,2,Pocket park and tree corridor - Cluster 22,Green,RAJUK,False,1.075,908,574,1272,bayesian-gamma-poisson-montecarlo-v2,844.398,0.3845,0.5241,0.6095,0.48401
57,2,Canal edge desilting - Cluster 23,Water,WASA,False,2.636,1002,601,1407,bayesian-gamma-poisson-montecarlo-v2,380.173,0.6116,0.4865,0.537,0.46721
58,2,Community safety lighting - Cluster 24,Public Safety,City Corporation,False,0.957,907,568,1243,bayesian-gamma-poisson-montecarlo-v2,947.475,0.4535,0.5055,0.4586,0.49011
59,2,Drain cleaning micro-package - Cluster 25,Drainage,City Corporation,False,0.522,999,657,1358,bayesian-gamma-poisson-montecarlo-v2,1914.125,0.4874,0.4933,0.5639,0.60667
60,2,Road patch and resurfacing - Cluster 26,Road,LGED,False,2.257,932,589,1304,bayesian-gamma-poisson-montecarlo-v2,412.905,0.5069,0.5294,0.5348,0.45651
61,2,Waste hotspot clearance - Cluster 27,Waste,City Corporation,False,0.785,887,563,1206,bayesian-gamma-poisson-montecarlo-v2,1129.336,0.9101,0.3665,0.3268,0.51662
62,2,Pocket park and tree corridor - Cluster 28,Green,RAJUK,True,2.12,897,564,1239,bayesian-gamma-poisson-montecarlo-v2,423.041,0.7258,0.3581,0.4675,0.48403
63,2,Canal edge desilting - Cluster 29,Water,WASA,False,1.807,993,634,1408,bayesian-gamma-poisson-montecarlo-v2,549.495,0.6125,0.381,0.6221,0.50892
64,2,Community safety lighting - Cluster 30,Public Safety,City Corporation,False,1.018,921,597,1358,bayesian-gamma-poisson-montecarlo-v2,904.57,0.7136,0.5814,0.5404,0.56553
65,2,Drain cleaning micro-package - Cluster 31,Drainage,City Corporation,False,0.747,1002,659,1365,bayesian-gamma-poisson-montecarlo-v2,1341.67,0.8232,0.4853,0.5993,0.65748
66,2,Road patch and resurfacing - Cluster 32,Road,LGED,False,1.981,932,579,1336,bayesian-gamma-poisson-montecarlo-v2,470.51,0.6878,0.4852,0.5015,0.51381
67,2,Waste hotspot clearance - Cluster 33,Waste,City Corporation,True,0.59,910,564,1256,bayesian-gamma-poisson-montecarlo-v2,1541.436,0.895,0.5367,0.4438,0.62774
68,2,Pocket park and tree corridor - Cluster 34,Green,RAJUK,False,1.591,911,584,1258,bayesian-gamma-poisson-montecarlo-v2,572.487,0.6891,0.3661,0.5322,0.4973
69,3,Drain cleaning micro-package - Cluster 1,Drainage,City Corporation,False,1.276,1004,662,1433,bayesian-gamma-poisson-montecarlo-v2,787.011,0.712,0.5529,0.6164,0.5964
70,3,Road patch and resurfacing - Cluster 2,Road,LGED,False,1.349,937,592,1297,bayesian-gamma-poisson-montecarlo-v2,694.445,0.6256,0.455,0.4108,0.47945
71,3,Waste hotspot clearance - Cluster 3,Waste,City Corporation,False,1.118,909,560,1315,bayesian-gamma-poisson-montecarlo-v2,813.089,0.6697,0.4716,0.6204,0.53816
72,3,Pocket park and tree corridor - Cluster 4,Green,RAJUK,False,2.137,940,585,1335,bayesian-gamma-poisson-montecarlo-v2,439.806,0.821,0.5292,0.5096,0.51736
73,3,Canal edge desilting - Cluster 5,Water,WASA,False,2.319,1008,632,1407,bayesian-gamma-poisson-montecarlo-v2,434.586,0.7603,0.5009,0.5918,0.57971
74,3,Community safety lighting - Cluster 6,Public Safety,City Corporation,False,0.644,940,613,1251,bayesian-gamma-poisson-montecarlo-v2,1459.589,0.8154,0.4112,0.44,0.60955
75,3,Drain cleaning micro-package - Cluster 7,Drainage,City Corporation,False,1.563,1010,659,1388,bayesian-gamma-poisson-montecarlo-v2,646.086,0.99,0.611,0.6227,0.66683
76,3,Road patch and resurfacing - Cluster 8,Road,LGED,False,0.936,917,594,1296,bayesian-gamma-poisson-montecarlo-v2,979.787,0.7758,0.5264,0.4397,0.58155
77,3,Waste hotspot clearance - Cluster 9,Waste,City Corporation,False,0.655,926,583,1294,bayesian-gamma-poisson-montecarlo-v2,1413.094,0.5522,0.5854,0.4164,0.55093
78,3,Pocket park and tree corridor - Cluster 10,Green,RAJUK,True,1.076,891,567,1198,bayesian-gamma-poisson-montecarlo-v2,828.28,0.99,0.5148,0.5165,0.62609
79,3,Canal edge desilting - Cluster 11,Water,WASA,False,0.816,1018,655,1378,bayesian-gamma-poisson-montecarlo-v2,1247.086,0.8009,0.5069,0.5241,0.62341
80,3,Community safety lighting - Cluster 12,Public Safety,City Corporation,False,0.556,932,605,1323,bayesian-gamma-poisson-montecarlo-v2,1675.841,0.8282,0.5021,0.5267,0.63593
81,3,Drain cleaning micro-package - Cluster 13,Drainage,City Corporation,False,1.247,1002,661,1400,bayesian-gamma-poisson-montecarlo-v2,803.464,0.8661,0.4904,0.5505,0.57675
82,3,Road patch and resurfacing - Cluster 14,Road,LGED,False,1.498,883,546,1249,bayesian-gamma-poisson-montecarlo-v2,589.424,0.6125,0.5167,0.4623,0.49789
83,3,Waste hotspot clearance - Cluster 15,Waste,City Corporation,False,1.112,908,565,1241,bayesian-gamma-poisson-montecarlo-v2,816.445,0.7556,0.5231,0.5518,0.56919
84,3,Pocket park and tree corridor - Cluster 16,Green,RAJUK,False,1.894,896,567,1221,bayesian-gamma-poisson-montecarlo-v2,473.079,0.7591,0.4118,0.4795,0.52132
85,3,Canal edge desilting - Cluster 17,Water,WASA,False,0.962,1002,674,1327,bayesian-gamma-poisson-montecarlo-v2,1041.563,0.6709,0.4732,0.5547,0.54176
86,3,Community safety lighting - Cluster 18,Public Safety,City Corporation,False,1.028,945,592,1323,bayesian-gamma-poisson-montecarlo-v2,919.284,0.7621,0.5339,0.3701,0.50581
87,3,Drain cleaning micro-package - Cluster 19,Drainage,City Corporation,False,1.526,1017,673,1372,bayesian-gamma-poisson-montecarlo-v2,666.585,0.7785,0.3962,0.5051,0.52329
88,3,Road patch and resurfacing - Cluster 20,Road,LGED,True,1.544,915,571,1280,bayesian-gamma-poisson-montecarlo-v2,592.792,0.5887,0.4149,0.4514,0.45916
89,3,Waste hotspot clearance - Cluster 21,Waste,City Corporation,False,0.561,918,591,1281,bayesian-gamma-poisson-montecarlo-v2,1636.796,0.7424,0.5474,0.4457,0.61622
90,3,Pocket park and tree corridor - Cluster 22,Green,RAJUK,False,1.488,912,593,1251,bayesian-gamma-poisson-montecarlo-v2,612.743,0.6179,0.46,0.5131,0.49789
91,3,Canal edge desilting - Cluster 23,Water,WASA,True,1.412,1013,648,1405,bayesian-gamma-poisson-montecarlo-v2,717.174,0.6392,0.4113,0.5341,0.52759
92,3,Community safety lighting - Cluster 24,Public Safety,City Corporation,True,1.206,950,619,1267,bayesian-gamma-poisson-montecarlo-v2,787.757,0.6867,0.4365,0.4974,0.50062
93,3,Drain cleaning micro-package - Cluster 25,Drainage,City Corporation,False,0.477,979,639,1363,bayesian-gamma-poisson-montecarlo-v2,2053.247,0.6678,0.5373,0.6401,0.73651
94,3,Road patch and resurfacing - Cluster 26,Road,LGED,False,1.941,921,563,1276,bayesian-gamma-poisson-montecarlo-v2,474.611,0.7709,0.3598,0.486,0.47643
95,3,Waste hotspot clearance - Cluster 27,Waste,City Corporation,False,1.092,921,596,1269,bayesian-gamma-poisson-montecarlo-v2,843.654,0.8555,0.4255,0.5829,0.58239
96,3,Pocket park and tree corridor - Cluster 28,Green,RAJUK,False,1.147,925,622,1257,bayesian-gamma-poisson-montecarlo-v2,806.578,0.7894,0.512,0.4952,0.53036
97,3,Canal edge desilting - Cluster 29,Water,WASA,False,1.2,985,648,1326,bayesian-gamma-poisson-montecarlo-v2,820.566,0.6568,0.5212,0.7486,0.62956
98,3,Community safety lighting - Cluster 30,Public Safety,City Corporation,True,0.94,922,578,1287,bayesian-gamma-poisson-montecarlo-v2,980.638,0.6823,0.5887,0.49,0.5749
99,3,Drain cleaning micro-package - Cluster 31,Drainage,City Corporation,False,0.997,1003,673,1389,bayesian-gamma-poisson-montecarlo-v2,1005.782,0.6364,0.3874,0.7028,0.57072
100,3,Road patch and resurfacing - Cluster 32,Road,LGED,False,2.775,910,588,1255,bayesian-gamma-poisson-montecarlo-v2,327.957,0.7882,0.285,0.4971,0.44163
101,3,Waste hotspot clearance - Cluster 33,Waste,City Corporation,False,0.98,926,563,1357,bayesian-gamma-poisson-montecarlo-v2,945.347,0.8121,0.4679,0.4908,0.58504
102,3,Pocket park and tree corridor - Cluster 34,Green,RAJUK,False,1.254,919,580,1244,bayesian-gamma-poisson-montecarlo-v2,732.743,0.5012,0.3736,0.5127,0.43922
103,4,Drain cleaning micro-package - Cluster 1,Drainage,City Corporation,False,1.184,967,617,1339,bayesian-gamma-poisson-montecarlo-v2,817.06,0.8447,0.4696,0.5897,0.6175
104,4,Road patch and resurfacing - Cluster 2,Road,LGED,False,2.463,852,508,1216,bayesian-gamma-poisson-montecarlo-v2,345.984,0.8192,0.5356,0.5035,0.55174
105,4,Waste hotspot clearance - Cluster 3,Waste,City Corporation,False,1.005,919,559,1312,bayesian-gamma-poisson-montecarlo-v2,914.58,0.8283,0.5282,0.4442,0.58135
106,4,Pocket park and tree corridor - Cluster 4,Green,RAJUK,True,1.948,898,585,1252,bayesian-gamma-poisson-montecarlo-v2,461.068,0.8052,0.666,0.5092,0.55215
107,4,Canal edge desilting - Cluster 5,Water,WASA,False,2.855,1002,636,1363,bayesian-gamma-poisson-montecarlo-v2,350.969,0.5216,0.578,0.6732,0.56131
108,4,Community safety lighting - Cluster 6,Public Safety,City Corporation,False,1.076,926,595,1282,bayesian-gamma-poisson-montecarlo-v2,860.763,0.9333,0.6384,0.4535,0.60741
109,4,Drain cleaning micro-package - Cluster 7,Drainage,City Corporation,False,0.697,982,650,1381,bayesian-gamma-poisson-montecarlo-v2,1408.988,0.7958,0.5551,0.6069,0.70411
110,4,Road patch and resurfacing - Cluster 8,Road,LGED,False,2.737,844,489,1177,bayesian-gamma-poisson-montecarlo-v2,308.349,0.7514,0.6005,0.5754,0.59091
111,4,Waste hotspot clearance - Cluster 9,Waste,City Corporation,True,1.111,913,583,1274,bayesian-gamma-poisson-montecarlo-v2,821.538,0.99,0.5698,0.4527,0.63258
112,4,Pocket park and tree corridor - Cluster 10,Green,RAJUK,False,1.696,900,577,1266,bayesian-gamma-poisson-montecarlo-v2,530.579,0.7461,0.4869,0.5899,0.55632
113,4,Canal edge desilting - Cluster 11,Water,WASA,True,3.337,1018,655,1400,bayesian-gamma-poisson-montecarlo-v2,305.103,0.9075,0.5728,0.6089,0.55813
114,4,Community safety lighting - Cluster 12,Public Safety,City Corporation,False,0.372,868,525,1193,bayesian-gamma-poisson-montecarlo-v2,2335.854,0.7964,0.5054,0.5734,0.74309
115,4,Drain cleaning micro-package - Cluster 13,Drainage,City Corporation,False,0.542,981,628,1386,bayesian-gamma-poisson-montecarlo-v2,1810.513,0.8841,0.554,0.5322,0.72486
116,4,Road patch and resurfacing - Cluster 14,Road,LGED,False,1.518,853,481,1239,bayesian-gamma-poisson-montecarlo-v2,561.883,0.6337,0.6564,0.473,0.50396
117,4,Waste hotspot clearance - Cluster 15,Waste,City Corporation,False,0.931,909,551,1314,bayesian-gamma-poisson-montecarlo-v2,976.624,0.9737,0.698,0.505,0.67216
118,4,Pocket park and tree corridor - Cluster 16,Green,RAJUK,True,1.374,910,583,1223,bayesian-gamma-poisson-montecarlo-v2,662.516,0.6325,0.5104,0.5345,0.54657
119,4,Canal edge desilting - Cluster 17,Water,WASA,True,1.875,977,601,1348,bayesian-gamma-poisson-montecarlo-v2,521.203,0.604,0.5381,0.6518,0.55428
120,4,Community safety lighting - Cluster 18,Public Safety,City Corporation,False,0.622,905,605,1208,bayesian-gamma-poisson-montecarlo-v2,1454.502,0.4873,0.5445,0.443,0.52795
121,4,Drain cleaning micro-package - Cluster 19,Drainage,City Corporation,False,0.854,963,642,1371,bayesian-gamma-poisson-montecarlo-v2,1128.176,0.5147,0.4439,0.5543,0.50242
122,4,Road patch and resurfacing - Cluster 20,Road,LGED,False,2.143,892,541,1270,bayesian-gamma-poisson-montecarlo-v2,416.24,0.7634,0.5404,0.625,0.56781
123,4,Waste hotspot clearance - Cluster 21,Waste,City Corporation,False,1.128,920,600,1299,bayesian-gamma-poisson-montecarlo-v2,815.648,0.651,0.6237,0.5132,0.54375
124,4,Pocket park and tree corridor - Cluster 22,Green,RAJUK,False,1.953,909,581,1228,bayesian-gamma-poisson-montecarlo-v2,465.537,0.5833,0.6086,0.564,0.511
125,4,Canal edge desilting - Cluster 23,Water,WASA,False,1.291,1017,671,1391,bayesian-gamma-poisson-montecarlo-v2,787.521,0.6263,0.4934,0.6112,0.56487
126,4,Community safety lighting - Cluster 24,Public Safety,City Corporation,False,0.409,900,564,1236,bayesian-gamma-poisson-montecarlo-v2,2200.211,0.7015,0.5432,0.4831,0.65475
127,4,Drain cleaning micro-package - Cluster 25,Drainage,City Corporation,True,0.795,988,621,1372,bayesian-gamma-poisson-montecarlo-v2,1242.346,0.3471,0.6012,0.64,0.5562
128,4,Road patch and resurfacing - Cluster 26,Road,LGED,False,2.209,842,511,1227,bayesian-gamma-poisson-montecarlo-v2,381.236,0.7284,0.5974,0.4388,0.52663
129,4,Waste hotspot clearance - Cluster 27,Waste,City Corporation,False,0.496,906,546,1252,bayesian-gamma-poisson-montecarlo-v2,1826.308,0.6044,0.5863,0.5099,0.65121
130,4,Pocket park and tree corridor - Cluster 28,Green,RAJUK,True,0.765,878,579,1194,bayesian-gamma-poisson-montecarlo-v2,1147.871,0.8326,0.6237,0.5148,0.62143
131,4,Canal edge desilting - Cluster 29,Water,WASA,False,0.863,973,606,1337,bayesian-gamma-poisson-montecarlo-v2,1127.533,0.6647,0.6199,0.6245,0.62719
132,4,Community safety lighting - Cluster 30,Public Safety,City Corporation,False,0.422,924,593,1279,bayesian-gamma-poisson-montecarlo-v2,2190.915,0.7908,0.6258,0.5397,0.77576
133,4,Drain cleaning micro-package - Cluster 31,Drainage,City Corporation,False,1.04,970,641,1304,bayesian-gamma-poisson-montecarlo-v2,933.049,0.6251,0.6388,0.5553,0.58364
134,4,Road patch and resurfacing - Cluster 32,Road,LGED,False,1.931,836,452,1255,bayesian-gamma-poisson-montecarlo-v2,433.017,0.7351,0.6742,0.5846,0.55713
135,4,Waste hotspot clearance - Cluster 33,Waste,City Corporation,False,1.191,894,549,1232,bayesian-gamma-poisson-montecarlo-v2,750.824,0.7496,0.5565,0.609,0.60471
136,4,Pocket park and tree corridor - Cluster 34,Green,RAJUK,False,1.334,930,579,1289,bayesian-gamma-poisson-montecarlo-v2,697.229,0.5717,0.5932,0.5829,0.56095
137,5,Drain cleaning micro-package - Cluster 1,Drainage,City Corporation,False,1.28,992,650,1365,bayesian-gamma-poisson-montecarlo-v2,774.877,0.8758,0.464,0.6388,0.65933
138,5,Road patch and resurfacing - Cluster 2,Road,LGED,False,2.345,863,480,1324,bayesian-gamma-poisson-montecarlo-v2,368.049,0.8786,0.5749,0.5202,0.52772
139,5,Waste hotspot clearance - Cluster 3,Waste,City Corporation,False,0.71,896,558,1246,bayesian-gamma-poisson-montecarlo-v2,1261.159,0.9033,0.4682,0.5368,0.62281
140,5,Pocket park and tree corridor - Cluster 4,Green,RAJUK,True,1.844,917,590,1307,bayesian-gamma-poisson-montecarlo-v2,497.354,0.674,0.5234,0.3673,0.45958
141,5,Canal edge desilting - Cluster 5,Water,WASA,False,0.995,1035,705,1379,bayesian-gamma-poisson-montecarlo-v2,1039.753,0.7803,0.5773,0.5438,0.63622
142,5,Community safety lighting - Cluster 6,Public Safety,City Corporation,False,0.613,893,545,1245,bayesian-gamma-poisson-montecarlo-v2,1456.839,0.818,0.5257,0.3356,0.56301
143,5,Drain cleaning micro-package - Cluster 7,Drainage,City Corporation,False,1.299,1009,659,1365,bayesian-gamma-poisson-montecarlo-v2,776.512,0.8544,0.572,0.6295,0.64394
144,5,Road patch and resurfacing - Cluster 8,Road,LGED,True,2.265,826,448,1272,bayesian-gamma-poisson-montecarlo-v2,364.618,0.5289,0.6353,0.3512,0.43119
145,5,Waste hotspot clearance - Cluster 9,Waste,City Corporation,False,0.851,908,590,1248,bayesian-gamma-poisson-montecarlo-v2,1066.38,0.6345,0.4255,0.4639,0.50883
146,5,Pocket park and tree corridor - Cluster 10,Green,RAJUK,False,0.774,928,603,1293,bayesian-gamma-poisson-montecarlo-v2,1199.107,0.8168,0.4823,0.5129,0.5761
147,5,Canal edge desilting - Cluster 11,Water,WASA,False,1.737,980,658,1353,bayesian-gamma-poisson-montecarlo-v2,564.234,0.5678,0.4566,0.6552,0.53419
148,5,Community safety lighting - Cluster 12,Public Safety,City Corporation,False,1.159,927,595,1325,bayesian-gamma-poisson-montecarlo-v2,799.89,0.775,0.5081,0.4791,0.54214
149,5,Drain cleaning micro-package - Cluster 13,Drainage,City Corporation,False,0.599,999,632,1375,bayesian-gamma-poisson-montecarlo-v2,1668.401,0.99,0.5429,0.6087,0.74063
150,5,Road patch and resurfacing - Cluster 14,Road,LGED,False,0.671,548,189,918,bayesian-gamma-poisson-montecarlo-v2,816.485,0.9263,0.5486,0.4698,0.61173
151,5,Waste hotspot clearance - Cluster 15,Waste,City Corporation,False,0.983,923,570,1319,bayesian-gamma-poisson-montecarlo-v2,939.405,0.7662,0.3986,0.455,0.52639
152,5,Pocket park and tree corridor - Cluster 16,Green,RAJUK,True,2.138,915,572,1318,bayesian-gamma-poisson-montecarlo-v2,427.994,0.8109,0.518,0.5528,0.57687
153,5,Canal edge desilting - Cluster 17,Water,WASA,False,2.668,1005,659,1377,bayesian-gamma-poisson-montecarlo-v2,376.657,0.623,0.4623,0.6864,0.55831
